capBac,congTy,diaDiem,hanNopCV,hinhThuc,kinhNghiem,linkCV,linkCongTy,luong,moTa,nganhNghe,phucLoi,skills,soLuong,tenCV,yeuCau
Senior,Công ty Cổ phần Phần mềm Devwork,Hồ Chí Minh,2023-10-15,Full-time,4,https://devwork.vn/viec-lam/11758/fullstack-nodejs-reactjs-(onsite-tan-binh),https://devwork.vn/cong-ty/4505/cong-ty-co-phan-phan-mem-devwork,"(['25-35 triệu'],)","Tham gia phát triển dự án làm tại văn phòng Khách hàng,
Chịu trách nhiệm xây dựng tính năng, giao diện sản phẩm theo yêu cầu được giao",Fullstack,"(['- Không cần thử việc, có việc làm chính thức hưởng 100% lương', '\n- Cơ hội onsite và làm việc với khách hàng lớn, công nghệ tiên tiến, khả năng tự phát triển...', '\n- Cơ hội làm việc nhóm với nhiều chuyên gia hàng đầu trong lĩnh vực CNTT trong nước và quốc tế.', '\n- Cơ hội thực hiện các dự án đầy tham vọng ở nhiều quốc gia, tiếp xúc với các công nghệ mới nhất và học hỏi từ những đồng nghiệp giỏi.', '\n- Làm việc trong môi trường trẻ, năng động, hiện đại và đa văn hóa; Các hoạt động truyền thông, sự kiện vào các ngày lễ diễn ra thường xuyên.', '\n- Cơ hội thăng tiến theo năng lực với mức tăng cấp bậc và tăng lương tương ứng.', '\n- Được quyền tham gia các khóa đào tạo kỹ năng mềm (tư duy logic, tư duy sáng tạo, kỹ năng giao tiếp, kỹ năng quản lý dự án, kỹ năng đàm phán…) và các lớp học tiếng Nhật.', '\n- Và nhiều quyền lợi hấp dẫn khác...'],)","(['NodeJS', 'ReactJS'],)",1,"Fullstack Nodejs, Reactjs (onsite Tân Bình)","Có trên 4 năm kinh nghiệm lập trình Reactjs, Nodejs,
Thành thạo HTML/CSS, Bootstrap,
Có kiến thức về các hệ thống cloud (private cloud),
Tiếng Anh giao tiếp tốt"
Senior,Công ty Cổ phần Phần mềm Devwork,Hà Nội,2023-10-14,Full-time,6,https://devwork.vn/viec-lam/11755/java-senior-(hybrid),https://devwork.vn/cong-ty/4505/cong-ty-co-phan-phan-mem-devwork,"(['30-40 triệu'],)","Build software according to the requirements of the Company and the Customer.,
Research and bring research results as required,
Perform other duties as assigned by the head of department.","(None,)","(['- No need to try a job, get an official job with 100% salary', '\n- Opportunities onsite and working with big customers, advanced technology, self-development...', '\n- The opportunity to work in groups with many leading experts in the field of domestic and international IT.', '\n- Opportunity to implement ambitious projects in many countries, exposure to the latest technologies and learn from good colleagues.', '\n- Working in a young, vibrant, modern and multicultural environment; Communication activities and events on holidays take place regularly.', '\n- Opportunity for advancement based on ability with corresponding increase in rank and salary increase.', '\n- Have the right to participate in soft skills training courses (logical thinking, creative thinking, communication skills, project management skills, negotiation skills…) and Japanese language classes.', '\n- And many other attractive benefits...'],)","(['Java'],)",1,Java Senior (Hybrid),"- Proficient in English,
- Bachelor’s or master’s degree in engineering - Computer Science, Software Engineering or equivalent discipline.,
- 5+ years of hands-on development experience, primarily using Java.,
- Good at the logic algorithm (can live coding),
- Experience and knowledge of databases – both relational and NoSQL.,
- Working knowledge of Java, Spring, Hibernate, REST, XML, JSON, Message Queues, databases – both relational and non-relational.,
- Working knowledge of distributed messaging and streaming platforms, such as Apache Kafka Streams as well as dealing with unbounded data.,
- Comprehensive understanding of software systems, including the compiler/JVM/garbage collection, distributed systems, optimizers and compilers.,
- Understanding of the TCP stack and MQTT/HTTP based protocols.,
- Knowledge and hands-on experience in docker development and deployments such as Kubernetes.,
- Knowledge of one of the major cloud providers(Azure/AWS/GCP).,
- Knowledge of CI/CD based workflow"
Middle,Devwork Client,Hồ Chí Minh,2024-04-30,Full-time,3,https://devwork.vn/viec-lam/11799/sales-staff,https://devwork.vn/cong-ty/3128/devwork-client,"(['20-30 triệu'],)","Account manage and seek opportunities in the Vietnam market for all existing UNIT customers / partners in the BSFI and Enterprise Sector to further onsell UNIT business solutions and services.,
Develop and implement account management plan for strategic assigned customers as directed by the line manager,
Build up and effectively manage continuous pipeline to ensure stable business generation. ,
Liase with the Technical/BU team and partners and related departments to prepare proposals for customers. ,
Follow up to ensure the deals are properly managed, closed, contracts/POs are properly signed off to avoid unnecessary risk.,
Coordinate and cooperate with related departments to ensure projects are running smoothly. ,
Follow up with customer until final completion and act as main contract point for problem solving with the customers/partners where applicable.,
Ensure all transactions strictly complied with group/company policies & procedures and local legislation.,
Achieve yearly KPI as agreed with the line manager","(None,)","(['12 days annual leave + 3 days sick leave + 1 day birthday leave', '\nEnd of year party', '\nCompetitive Salary with benefits', '\n13th month salary bonus', '\nSales performance commission', '\nHealth Care', '\nMid-year company trip', '\nMonthly Team building', '\nIntroduction of latest technology', '\n5 days - working week. ', '\nTraining and Development'],)","(['Sale Man'],)",3,SALES STAFF,"Background for IT Solutions and Services, particularly in the BSFI or Enterprise sectors.,
Good soft skills in; communication, negotiation, problem solving, critical thinking and presentation skills,
Some legal knowledge as it relates to business transactions.,
Team player, positive attitude and reliable,
,
Education,
Bachelor’s Degree in a Business, Computing, Economics, or related subject. ,
,
Language skills:,
Vietnamese (Fluent Native),
English – Good written and Oral Skills"
Senior,Devwork Client,Hồ Chí Minh,2024-04-30,Full-time,3,https://devwork.vn/viec-lam/11803/sale-manager,https://devwork.vn/cong-ty/3128/devwork-client,"(['30-40 triệu'],)","Account manage and seek opportunities in the Vietnam market for all existing UNIT customers / partners in the BSFI and Enterprise Sector to further onsell UNIT business solutions and services.,
Develop and implement account management plan for strategic assigned customers as directed by the line manager,
Build up and effectively manage continuous pipeline to ensure stable business generation.,
Liase with the Technical/BU team and partners and related departments to prepare proposals for customers.,
Follow up to ensure the deals are properly managed, closed, contracts/POs are properly signed off to avoid unnecessary risk.,
Coordinate and cooperate with related departments to ensure projects are running smoothly.,
Follow up with customer until final completion and act as main contract point for problem solving with the customers/partners where applicable.,
Ensure all transactions strictly complied with group/company policies & procedures and local legislation.,
Achieve yearly KPI as agreed with the line manager",Fullstack,"(['12 days annual leave + 3 days sick leave + 1 day birthday leave', '\nEnd of year party', '\nCompetitive Salary with benefits', '\n13th month salary bonus', '\nSales performance commission', '\nHealth Care', '\nMid-year company trip', '\nMonthly Team building', '\nIntroduction of latest technology', '\n5 days - working week.', '\nTraining and Development'],)","(['Sale Man'],)",1,Sale Manager,"Background for IT Solutions and Services, particularly in the BSFI or Enterprise sectors.,
Good soft skills in; communication, negotiation, problem solving, critical thinking and presentation skills,
Some legal knowledge as it relates to business transactions.,
Team player, positive attitude and reliable,
Minimum 3 years of sales management experience,
Good English,
Education,
Bachelor’s Degree in a Business, Computing, Economics, or related subject."
Middle,STACK TECH COMPANY LIMITED,Hồ Chí Minh,2023-11-04,Full-time,3,https://devwork.vn/viec-lam/11815/investment-manager,https://devwork.vn/cong-ty/458/stack-tech-company-limited,"(['30-40 triệu'],)","1. Chịu trách nhiệm về công tác đầu tư các dự án đầu tiên của công ty;,
2. Chịu trách nhiệm thu thập và sàng lọc thông tin, đàm phán kinh doanh, thiết kế cơ cấu giao dịch và ký kết thỏa thuận đầu tư đối với các dự án giai đoạn đầu;,
3. Chịu trách nhiệm xem xét phê duyệt dự án, lập báo cáo nghiên cứu khả thi, đánh giá rủi ro, thực hiện đầu tư và quản lý sau đầu tư đối với các dự án đầu tư ban đầu;,
4. Chịu trách nhiệm hoạch định phương pháp rút lui, tìm kiếm cơ hội và nguồn lực rút lui, chuẩn bị các đề xuất rút lui và tổ chức các hoạt động rút lui cụ thể.",Data Engine,"(['Thử việc:  100% lương cơ bản, 20% lương thưởng theo performance hang thang', '\nLương tháng 13', '\nĐóng BHXH theo quy định của Nhà nước', '\nLàm việc trong môi trường với những người trẻ, năng động, máu lửa và nhiệt huyết trong công', '\nviệc, phát huy tối đa năng lực và sự sáng tạo của nhân viên', '\nCác phúc lợi khác:  team building, có phòng gym riêng , event của công ty.', '\nReview tăng lương 01lần/ năm.', '\nLàm việc từ thứ 2 - thứ 6, và 2 thứ bảy/ tháng'],)","([],)",1,Investment manager,"1. Có bằng thạc sĩ trở lên về tài chính, tài chính, kinh tế, quản lý và các chuyên ngành liên quan khác, tốt nghiệp các trường đại học uy tín trong và ngoài nước.,
2. Có trên 2 năm kinh nghiệm đầu tư thiên thần và liên quan đến FA, am hiểu thị trường vốn trong và ngoài nước, có khả năng liên kết hiệu quả các nguồn lực mạng lưới với các nền tảng khác nhau và có các kênh dự án ổn định;,
3. Ứng viên có kinh nghiệm làm việc tại các tổ chức đầu tư thiên thần và tổ chức FA nổi tiếng quốc tế sẽ được ưu tiên;,
4. Lạc quan và có động lực, có khả năng kết nối hiệu quả những người có hoàn cảnh khác nhau và có các kênh dự án ổn định;,
5. Làm quen với hoạt động kinh doanh, quy trình và mô hình làm việc đầu tư giai đoạn đầu, có kiến ​​thức cơ bản nhất định về tài chính, pháp lý và có khả năng độc lập thực hiện đầu tư vốn cổ phần và quản lý sau đầu tư;,
6. Am hiểu về năng lượng, bảo vệ môi trường, dịch vụ tiêu dùng và các lĩnh vực khác, đồng thời có khả năng phân tích toàn diện về sự phát triển của ngành, tình hình thị trường, đặc điểm kỹ thuật và các công ty hàng đầu;,
7. Có kỹ năng viết tốt, có khả năng độc lập hoàn thành các báo cáo thẩm định, báo cáo đầu tư và kế hoạch kinh doanh, có khả năng học hỏi cao, có tinh thần trách nhiệm và nhiệt tình với công việc;,
8. Tư duy nhanh nhẹn, giao tiếp tốt, có duyên, có hình ảnh và khí chất tốt,
9. Yêu cầu thông thạo nghe, nói và viết tiếng Anh"
Junior,CÔNG TY CỔ PHẦN DỊCH VỤ GOLF VIỆT NAM,Hà Nội,2023-11-10,Full-time,2,https://devwork.vn/viec-lam/11830/back-end-(nodejs),https://devwork.vn/cong-ty/11938/cong-ty-co-phan-dich-vu-golf-viet-nam,"(['15-25 triệu'],)","- Trực	tiếp	tham	gia	phát	triển	một	hoặc	nhiều	sản	phẩm	chiến	lược	của	công	ty,
- Tham	gia	xây	dựng	các	ứng	dụng	có	khả	năng	scaling	tốt,	performance	cao,	có	UI/UX	tốt	cho	người	,
dùng.,
- Viết	code	theo	standard	và	best	practice	của	team	về	style,	performance	đảm	bảo	code	clean,	dễ	mở	,
rộng	và	bảo	trì.,
- Tham	gia	quá	trình	hỗ	trợ	khách	hàng,	sửa	lỗi	sản	phẩm	đảm	bảo	khách	hàng	có	trải	nghiệm	tốt	với	ứng	,
dụng",Backend,"(['- Mức\tlương\thấp\tdẫn,\ttương\txứng\tvới\tnăng\tlực\tvà\thiệu\tquả\tlàm\tviệc\t(Mức\tlương\t12-25tr).', '\n- Được\tlàm\tviệc\tvới\tcác\tcông\tnghệ\tmới\tnhất,\thot\ttrend:\tCloud\tComputing,\tServerless.\tChỉ\tcần\ttập\ttrung\t', '\nvào\tviết\tcode,\tkhông\tphải\tlo\tnghĩ\tvề\tcơ\tsở\thạ\ttầng.', '\n- Tham\tgia\txây\tdựng\thệ\tthống\tlớn,\tscalable\tcho\thàng\ttrăm\tnghìn\tkhách\thàng.', '\n- Đóng\tgóp\txây\tdựng\tnhững\tsản\tphẩm\ttop\tđầu\tthị\ttrường.', '\n- Được\tcung\tcấp\tthiết\tbị\tlàm\tviệc\tđầy\tđủ,\thiện\tđại.', '\n- Được\thưởng\tđầy\tđủ\tchế\tđộ\tphúc\tlợi\tnhư\tBHXH,\tthưởng\tlễ\tTết,\tlương\ttháng\t13,\tdu\tlịch\thàng\tnăm…', '\n- Phụ\tcấp\tgửi\txe,\tphụ\tcấp\tđi\tlại\ttheo\tquy\tđịnh,\tđóng\tgói\tBH\ty\ttế\tcao\tcấp,..', '\n- Văn\tphòng\tlàm\tviệc\ttiện\tnghi;\tcung\tcấp\ttrà,\tcafe\tvà\tcó\ttủ\tđồ\tăn\tuống,\tbánh\tkẹo\thàng\tngày.', '\n- Thời\tgian\tlàm\tviệc:\tThứ\t2\t- Thứ\t6 (làm\t2\tThứ\t7\ttrong\t1\ttháng).\tNghỉ\tCN\tvà\tcác\tngày\tlễ\ttheo\tquy\tđịnh\tcủa\t', '\nNhà\tnước.\tHưởng\tthêm\t12\tngày\tnghỉ\tphép.', '\n- Tham\tgia\tcác\tCLB\tchạy,\tđá\tbóng,\tboardgame,\tvăn\tnghệ\t…\tsau\tgiờ\tlàm\tviệc.', '\n- Được\tlàm\tviệc\ttrong\tmôi\ttrường\ttrẻ\ttrung,\tnăng\tđộng,\tnhiệt\ttình,\tchủ\tyếu\tlà\t9x\tvà\t2k,\tcó\tnhiều\tcơ\thội\t', '\nthăng\ttiến.', '\n- Cơ\thội\tđược\tthể\thiện\tvà\tphát\thuy\tnăng\tlực\tcủa\tbản\tthân,\ttham\tgia\thoạt\tđộng\tWorkshop\ttrao\tđổi\tchuyên\t', '\nmôn\tthường\txuyên\tcùng\tđội\tnhóm\tđể\tnăng\tcao\tkiến\tthức,\tnăng\tlực.', '\n- Được\ttham\tgia\tcác\tkhóa\thọc\tđào\ttạo\tvề\tkỹ\tnăng\tphát\ttriển\tcon\tngười\tvà\tkỹ\tnăng\tchuyên\tmôn.', '\n- Hưởng\tchế\tđộ\tphúc\tlợi\tkhác\ttheo\tquy\tđịnh\tcủa\tcông\tty\t(thăm\thỏi\tốm,\tđám\tcưới,\tthai\tsản…).'],)","(['NodeJS'],)",2,BACK-END (NODEJS),"- Trên	2 năm	kinh	nghiệm	làm	việc	với	NodeJS	(bắt	buộc),
- Ứng	viên	có	đức	tính	tỉ	mỉ	trong	công	việc	làm	product,	đặt	chất	lượng	sản	phẩm	và	trải	nghiệm	người	,
dùng	là	ưu	tiên	hàng	đầu.,
- Có	kinh	nghiệm	làm	việc	với	mô	hình	Agile;	làm	việc	với	Database	NoSQL:	MongoDB	hoặc	Firestore.,
- Có	kinh	nghiệm	với	điện	toán	đám	mây,	một	trong:	Google	Cloud,	Firebase,	AWS,	kiến	trúc	hệ	thống	,
microservice	là	một	lợi	thế.,
- Khả	năng	đọc	hiểu	Tiếng	Anh	tốt,	ham	tìm	tòi	kiến	thức	mới	là	một	điểm	cộng.,
- Ưu	tiên	ứng	viên	độ	tuổi	từ	23	- 30.,
- Có	kỹ	năng	làm	việc	đội	nhóm,	quản	lý	thời	gian	tốt	và	có	trách	nhiệm	với	công	việc."
Junior,Công ty Cổ phần Phần mềm Devwork,Hà Nội,2023-11-11,Full-time,2,https://devwork.vn/viec-lam/11834/ios-developer-(onsite-hoan-kiem),https://devwork.vn/cong-ty/4505/cong-ty-co-phan-phan-mem-devwork,"(['15-20 triệu'],)","- Xây dựng ứng dụng cho nền tảng iOS (Swift),
- Đảm bảo hiệu suất chất lượng, khả năng đáp ứng của các ứng dụng,
- Tối ưu ứng dụng ở mức độ code để mang lại trải nghiệm mượt mà, ít lỗi cho người dùng,
- Nhận định, xử lý lỗi, giải quyết bug và cải thiện hoạt động của ứng dụng,
- Duy trì, hỗ trợ, nâng cấp các ứng dụng dịch vụ đã phát triển của Công ty,
- Báo cáo và thực hiện các công việc theo yêu cầu của cấp quản lý",Mobile Apps,"(['Trợ cấp onsite 100k/ ngày, Nhận 100% lương ngay từ tháng đầu tiên', '\n- Không cần thử việc, đóng đầy đủ bảo hiểm theo luật lao động Việt Nam (BHXH, BHYT, BHTN) sau 2 tháng.', '\n- Thưởng kết nối: thưởng 3~10 triệu khi giới thiệu được bạn bè, người quen vào công ty.', '\n- 06 tháng đánh giá hiệu suất làm việc một lần, tương ứng với kì review lương dựa trên năng lực và hiệu suất làm việc.', '\n- Thưởng thâm niên, thưởng dự án, thưởng lương tháng 13, thưởng hiệu quả công việc vào cuối năm.', '\n- Trợ cấp thai sản cho nhân viên nữ.', '\n- Tham gia các hoạt động của công ty: teambuilding, du lịch, nghỉ dưỡng và các hoạt động khác.', '\n- Cơ hội onsite và làm việc với các khách hàng lớn, công nghệ tiên tiến, phát triển bản thân...', '\n- Cơ hội thăng tiến dựa trên năng lực tương ứng với tăng bậc và tăng lương tương xứng.', '\n- Được tham gia các khoá đào tạo kỹ năng mềm (tư duy logic, tư duy sáng tạo, kỹ năng giao tiếp, kỹ năng quản trị dự án, kỹ năng đàm phán…) và các lớp học tiếng Nhật, tiếng Anh'],)","(['iOS'],)",1,IOS Developer (Onsite Hoàn Kiếm),"- Kinh nghiệm lập trình iOS từ 2 năm,
- Sử dụng thành thạo Object C, Swift ,
- Sử dụng thành thạo storyboard, Auto layout, swiftUI,
- Sử dụng thành thạo các framework: UIKit, StoreKit, CFNetwork, CoreData, MessageUI…,
- Sử dụng thành thạo SQLLite, Coredata, XML, JSon và các giao thức kết nối với Server.,
- Có kinh nghiệm làm về Social Networking trên IOS như Facebook, Twitter...và các loại quảng cáo như iAD, Admob...,
- Có kinh nghiệm làm về các ứng dụng call video trực tuyến là một lợi thế."
Junior,CÔNG TY CP CÔNG NGHỆ ECRM.VN,Nghệ An,2023-11-12,Full-time,1,https://devwork.vn/viec-lam/11837/tuyen-dung-tester-leader,https://devwork.vn/cong-ty/267/cong-ty-cp-cong-nghe-ecrm.vn,"(['15-20 triệu'],)","- Lập kế hoạch Test, phân tích tài liệu, thiết kế Test Case, chạy Test Case.,
- Theo dõi, tổng hợp, đánh giá, báo cáo kết quả Test cho các bên liên quan,
- Thực hiện các công việc khác theo sự phân công của Quản lý trực tiếp.,
- Quản lý đội nhóm phụ trách",Tester / QA / QC,"(['- Mức lương khởi điểm từ 12 - 20 triệu tùy theo năng lực và vị trí công việc.', '\n- Được tổ chức sinh nhật, nghỉ lễ, và hưởng quyền lợi theo Luật lao động.', '\n- Cơ hội tham gia các khóa đào tạo, nâng cao nghiệp vụ chuyên nghiệp hoàn toàn miễn phí theo tiêu chuẩn của công ty.', '\n- Môi trường làm việc năng động'],)","(['QA', '\n                      QA\n                    ', '\n                      QC\n                    '],)",1,Tuyển Dụng Tester Leader,"- Tốt nghiệp đại học - cao đẳng chuyên nghành Công nghệ thông tin hoặc tương đương.,
- Yêu cầu > 1 năm kn ở vị trí tương đương,
- Có hiểu biết về quy trình phần mềm.,
- Khả năng đọc - hiểu và phân tích yêu cầu dự án,
- Xác định được scope test và công việc cần phải làm.,
- Biết sử dụng 1 vài tool quản lý bug.,
- Có khả năng report báo cáo tình trạng và test độ test trong dự án.,
- Yêu thích công việc, ham học hỏi, có tinh thần trách nhiệm cao, tỉ mỷ, cẩn thận.,
- Có khả năng xây dựng, quản lý và giúp đỡ những người mới"
Junior,CÔNG TY CP CÔNG NGHỆ ECRM.VN,Nghệ An,2023-11-12,Full-time,1,https://devwork.vn/viec-lam/11836/tuyen-dung-team-lead,https://devwork.vn/cong-ty/267/cong-ty-cp-cong-nghe-ecrm.vn,"(['25-30 triệu'],)","- Tham gia lên kế hoạch, đảm bảo tiến độ, chất lượng của dự án cùng PM.,
- Hỗ trợ team Dev giải quyết các vấn đề khó khăn trong phát triển sản phẩm.,
- Phối hợp cùng các team BA, Tester, Support đảm bảo quá trình phát triển sản phẩm.,
- Check công việc, chất lượng code của member trong team. Sẵn sàng tham gia hỗ trợ nhân sự trong quá trình triển khai tính năng",Fullstack,"(['- Mức lương cơ bản từ  20-30 triệu tùy theo năng lực và vị trí công việc:', '\n- Sẽ được trao đổi mức lương cụ thể khi phỏng vấn.', '\n- Được tổ chức sinh nhât, nghỉ lễ, nghỉ phép và hưởng quyền lợi theo Luật lao động.', '\n- Đồng nghiệp và môi trường làm việc năng động', '\n- Cơ hội được học tập và đào tạo nội bộ về các kỹ năng trong công việc.'],)","(['ASP.NET', '\n                      ASP.NET\n                    ', '\n                      C#\n                    '],)",1,Tuyển Dụng Team Lead,"- Tốt nghiệp Đại Học chuyên ngành Công nghệ thông tin, Điện tử viễn thông hoặc các ngành tương đương...,
- Thành thạo ngôn ngữ lập trình c#, dotnet (core) framework,
- Có kinh nghiệp về lập trình với React/Vue/Angular,
- Yêu thích công việc lập trình, đam mê công nghệ thông tin,
- Có khả năng tư duy hệ thống, tìm tòi, học hỏi nhanh, làm việc độc lập, làm việc nhóm, chủ động trong công việc.,
- Có trách nhiệm cao trong công việc, sẵn sàng thu xếp thời gian để hoàn thành công việc theo yêu cầu dự án"
Middle,Công ty Cổ phần Phần mềm Devwork,Hồ Chí Minh,2023-11-15,Full-time,1,https://devwork.vn/viec-lam/11845/junior-php-(onsite-tan-binh)_la,https://devwork.vn/cong-ty/4505/cong-ty-co-phan-phan-mem-devwork,"(['10-15 triệu'],)","- Chịu trách nhiệm hoàn thành công việc, đảm bảo chất lượng.,
- Làm việc, phối hợp công việc theo nhóm dưới sự phân công công việc của cấp trên.,
- Đóng góp ý kiến xây dựng và cải tiến sản phẩm.",Backend,"(['- Không cần thử việc, nhận làm chính thức hưởng 100% lương và được đóng đầy đủ bảo hiểm theo luật lao động Việt Nam (BHXH, BHYT, BHTN) ngay từ ngày onboard.', '\n- Trợ cấp 100k/ngày', '\n- Thưởng theo thâm niên, dự án, lương tháng 13, hiệu quả công việc vào cuối năm.', '\n- Tham gia các hoạt động của công ty: Liên hoan tháng, quý, teambuilding, du lịch, nghỉ dưỡng và các hoạt động khác.', '\n- Làm việc với hệ thống lớn và tiên tiến, có cơ hội phát triển kỹ năng công nghệ toàn diện với các bài toán phức tạp, yêu cầu độ chính xác cao.', '\n- Đánh giá năng lực, hiệu suất làm việc 2 lần trong năm.', '\n- Cơ hội thăng tiến dựa trên năng lực tương ứng với tăng bậc và tăng lương tương xứng.', '\n- Cơ hội triển khai các dự án tham vọng ở nhiều quốc gia, tiếp xúc với những công nghệ mới nhất và học hỏi từ những đồng nghiệp giỏi.', '\n- Được tham gia các khoá đào tạo kỹ năng: AWS, Microservice, ngoại ngữ (tiếng Anh, tiếng Nhật)…'],)","(['PHP'],)",1,Junior PHP (onsite Tân Bình)_LA,"- Trên 1 năm kinh nghiệm PHP ,
- Có kinh nghiệm Drupal,
-  English (Reading, Writing)"
